dteday,casual,registered,cnt,temp,atemp,hum,windspeed,season,yr,mnth,holiday,weekday,workingday,weathersit
2011-01-01,331,654,985.0,0.3441666666666667,0.36362500000000003,0.8058333333333333,0.16044583333333332,Spring,2011,1,0,6,0,Clear
2011-01-02,131,670,801.0,0.3634782608695652,0.35373913043478256,0.696086956521739,0.24853913043478262,Spring,2011,1,0,0,0,Misty
2011-01-03,120,1229,1349.0,0.19636363636363638,0.18940454545454546,0.43727272727272726,0.2483090909090909,Spring,2011,1,0,1,1,Clear
2011-01-04,108,1454,1562.0,0.19999999999999998,0.21212173913043478,0.5904347826086956,0.16029565217391303,Spring,2011,1,0,2,1,Clear
2011-01-05,82,1518,1600.0,0.22695652173913042,0.2292695652173913,0.43695652173913047,0.1869,Spring,2011,1,0,3,1,Clear
2011-01-06,88,1518,1606.0,0.20434782608695654,0.23320869565217392,0.5182608695652174,0.08956521739130435,Spring,2011,1,0,4,1,Clear
2011-01-07,148,1362,1510.0,0.1965217391304348,0.2088391304347826,0.498695652173913,0.16872608695652175,Spring,2011,1,0,5,1,Misty
2011-01-08,68,891,959.0,0.165,0.16225416666666667,0.5358333333333333,0.2668041666666667,Spring,2011,1,0,6,0,Misty
2011-01-09,54,768,822.0,0.13833333333333334,0.11617499999999999,0.43416666666666665,0.36195,Spring,2011,1,0,0,0,Clear
2011-01-10,41,1280,1321.0,0.15083333333333335,0.1508875,0.48291666666666666,0.2232666666666667,Spring,2011,1,0,1,1,Clear
2011-01-11,43,1220,1263.0,0.1690909090909091,0.19146363636363636,0.6863636363636364,0.12213181818181819,Spring,2011,1,0,2,1,Clear
2011-01-12,25,1137,1162.0,0.17272727272727273,0.16047272727272727,0.5995454545454545,0.30462727272727275,Spring,2011,1,0,3,1,Misty
2011-01-13,38,1368,1406.0,0.165,0.15088333333333334,0.47041666666666665,0.301,Spring,2011,1,0,4,1,Clear
2011-01-14,54,1367,1421.0,0.16086956521739132,0.18841304347826088,0.5378260869565217,0.12654782608695653,Spring,2011,1,0,5,1,Clear
2011-01-15,222,1026,1248.0,0.2333333333333333,0.24811249999999999,0.49875,0.1579625,Spring,2011,1,0,6,0,Clear
2011-01-16,251,953,1204.0,0.2316666666666667,0.23421666666666666,0.48374999999999996,0.18843333333333334,Spring,2011,1,0,0,0,Clear
2011-01-17,117,883,1000.0,0.1758333333333333,0.17677083333333332,0.5375,0.19401666666666664,Spring,2011,1,1,1,0,Misty
2011-01-18,9,674,683.0,0.21666666666666667,0.2323333333333333,0.8616666666666667,0.14677500000000002,Spring,2011,1,0,2,1,Misty
2011-01-19,78,1572,1650.0,0.29217391304347823,0.2984217391304348,0.7417391304347826,0.20831739130434782,Spring,2011,1,0,3,1,Misty
2011-01-20,83,1844,1927.0,0.26166666666666666,0.25505,0.5383333333333333,0.19590416666666666,Spring,2011,1,0,4,1,Clear
2011-01-21,75,1468,1543.0,0.1775,0.15783333333333333,0.45708333333333334,0.3532416666666667,Spring,2011,1,0,5,1,Misty
2011-01-22,93,888,981.0,0.0591304347826087,0.07906956521739131,0.39999999999999997,0.1719695652173913,Spring,2011,1,0,6,0,Clear
2011-01-23,150,836,986.0,0.0965217391304348,0.09883913043478261,0.43652173913043474,0.2466,Spring,2011,1,0,0,0,Clear
2011-01-24,86,1330,1416.0,0.0973913043478261,0.11793043478260869,0.4917391304347826,0.1583304347826087,Spring,2011,1,0,1,1,Clear
2011-01-25,186,1799,1985.0,0.2234782608695652,0.23452608695652175,0.6169565217391304,0.12979565217391303,Spring,2011,1,0,2,1,Misty
2011-01-26,34,472,506.0,0.2175,0.2036,0.8625,0.29385,Spring,2011,1,0,3,1,Misty
2011-01-27,15,416,431.0,0.195,0.2197,0.6875,0.11383750000000001,Spring,2011,1,0,4,1,Clear
2011-01-28,38,1129,1167.0,0.2034782608695652,0.22331739130434783,0.7930434782608696,0.1233,Spring,2011,1,0,5,1,Misty
2011-01-29,123,975,1098.0,0.19652173913043477,0.21212608695652174,0.6517391304347826,0.14536521739130434,Spring,2011,1,0,6,0,Clear
2011-01-30,140,956,1096.0,0.2165217391304348,0.25032173913043476,0.7221739130434782,0.07398260869565218,Spring,2011,1,0,0,0,Clear
2011-01-31,42,1459,1501.0,0.18083333333333332,0.18625,0.60375,0.18719166666666667,Spring,2011,1,0,1,1,Misty
2011-02-01,47,1313,1360.0,0.19217391304347825,0.23453043478260868,0.8295652173913044,0.05321304347826087,Spring,2011,2,0,2,1,Misty
2011-02-02,72,1454,1526.0,0.26,0.2544166666666667,0.7754166666666666,0.2643083333333333,Spring,2011,2,0,3,1,Light Snow/Rain
